date,home_team_api_id,away_team_api_id,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,betting_odds_home_avrg,betting_odds_draw_avrg,betting_odds_away_avrg,home_team_rating_avrg,away_team_rating_avrg,home_prev_5_goal_diff,away_prev_5_goal_diff,match_outcome
2008-11-29,8472,8559,3.0,8.0,5.0,5.4,10.0,13.8,2.0,2.0,0.0,0.0,25.6,18.8,5.0,5.0,50.6,50.0,2.238888888888889,3.211111111111111,3.0777777777777775,74.81818181818181,75.0,-7.0,2.0,2
2008-11-29,10252,9879,5.2,6.2,3.8,5.0,14.6,10.6,2.4,0.6,0.0,0.0,17.2,17.2,5.0,5.2,48.4,49.6,1.6166666666666667,3.522222222222222,5.544444444444444,80.0909090909091,76.0909090909091,3.0,3.0,0
2008-11-29,8549,10261,6.0,4.2,6.6,6.0,11.4,12.8,2.0,1.8,0.0,0.0,16.8,15.0,4.0,3.0,47.6,49.2,2.1444444444444444,3.216666666666667,3.2777777777777772,75.0,76.18181818181819,1.0,2.0,0
2008-11-29,8528,8659,6.6,4.0,6.4,6.8,11.6,9.4,1.8,1.6,0.0,0.0,24.2,17.8,5.2,4.0,51.2,50.2,1.7811111111111113,3.4000000000000004,4.386666666666667,74.27272727272727,71.9090909090909,0.0,-8.0,1
2008-11-29,10194,8667,3.8,5.4,2.2,5.8,13.6,14.4,2.0,1.6,0.0,0.0,18.0,17.4,3.6,4.4,45.6,51.0,2.375555555555555,3.238888888888889,2.8144444444444443,69.9090909090909,72.72727272727273,-6.0,1.0,0
2008-11-29,8302,8634,4.6,8.2,5.4,8.0,14.6,15.0,3.6,2.2,0.0,0.0,10.0,17.4,3.8,6.6,46.4,59.4,3.078888888888889,3.277777777777778,2.1722222222222225,78.0909090909091,84.63636363636364,5.0,12.0,2
2008-11-30,8455,9825,9.2,6.4,10.0,7.2,10.6,11.8,1.2,1.8,0.0,0.2,20.4,21.0,6.8,6.2,59.4,53.6,1.721111111111111,3.372222222222222,4.877777777777777,83.54545454545455,80.72727272727273,12.0,-5.0,2
2008-11-30,8462,8655,4.4,5.6,6.2,5.4,11.6,13.0,1.4,2.4,0.0,0.0,15.0,16.4,5.2,5.4,48.0,44.8,1.9766666666666666,3.238888888888889,3.7199999999999998,75.0,75.9090909090909,-1.0,-3.0,1
2008-11-30,8456,10260,6.2,8.6,4.6,7.8,16.0,10.8,1.6,1.2,0.2,0.0,14.4,16.2,3.4,5.4,49.4,55.4,4.104444444444444,3.355555555555556,1.8444444444444446,77.0,82.63636363636364,-2.0,7.0,2
2008-11-30,8586,8668,5.6,5.2,5.6,6.0,13.6,10.4,1.8,0.6,0.2,0.0,18.8,28.8,3.4,5.2,48.6,50.6,1.9466666666666665,3.288888888888889,3.736666666666667,77.0,79.0909090909091,2.0,3.0,2
